City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,kashmar,35.2383,58.4656,30.98,19,20,2.06,IR,1685033853
337,xam nua,20.4197,104.0439,19.67,93,26,1.19,LA,1685033928
338,guerrero negro,27.9769,-114.0611,17.61,62,99,6.43,MX,1685033928
339,najran,17.4924,44.1277,26.36,34,93,0.61,SA,1685033926
340,saint-philippe,-21.3585,55.7679,21.77,89,99,4.25,RE,1685033929
341,igarka,67.4667,86.5833,0.44,95,100,0.87,RU,1685033929
342,laguna,38.421,-121.4238,18.59,67,0,3.09,US,1685033930
343,dubbo,-32.25,148.6167,13.07,38,81,3.09,AU,1685033930
344,villa juarez,24.6536,-107.5411,33.92,16,64,2.75,MX,1685033930
345,vol'sk,52.0333,47.3833,20.38,70,100,2.0,RU,1685033931
346,pyt-yakh,60.7499,72.8582,11.71,47,0,1.73,RU,1685033931
347,mirnyy,62.5353,113.9611,2.75,81,84,3.95,RU,1685033931
348,tidjikja,18.5564,-11.4271,36.47,21,94,3.54,MR,1685033931
349,cadale,2.7603,46.3222,27.2,75,11,6.1,SO,1685033932
350,uychi,41.0807,71.9233,21.02,53,100,6.52,UZ,1685033932
351,les anglais,18.3054,-74.2197,29.7,65,3,4.19,HT,1685033932
352,mount isa,-20.7333,139.5,16.87,42,0,4.12,AU,1685033933
353,saldanha,-33.0117,17.9442,12.03,71,51,7.73,ZA,1685033933
354,vilyuysk,63.7553,121.6247,1.69,77,17,2.54,RU,1685033933
355,forster,-32.1667,152.5167,10.72,78,100,2.64,AU,1685033934
356,pangoa,-12.1167,-73.0,28.46,55,90,1.9,PE,1685033934
357,kafir qala,34.6667,61.0667,26.96,14,23,6.72,AF,1685033934
358,olinda,-8.0089,-34.8553,28.85,65,20,5.66,BR,1685033935
359,turochak,52.2576,87.1224,4.93,74,31,0.75,RU,1685033935
360,balti,47.7617,27.9289,19.2,70,79,3.33,MD,1685033110
361,toropets,56.4978,31.6353,18.44,56,66,1.52,RU,1685033936
362,tongchuanshi,35.0806,109.0897,17.69,48,100,0.91,CN,1685033936
